price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,price_per_m2,cluster,luxury_segment,is_luxurious
410000.0,2.0,101.0,3,-1.0,-1,-1,-1,-1,-1,2012.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,-1,95.0,-1.0,-1,-1,0,-1,-1.0,-1.0,1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,apartment,2018,antwerp,Apartment,4059.4059405940593,1.0,0,False
215000.0,3.0,100.0,0,2.0,0,1,0,-1,-1,1963.0,-1,1,-1.0,1.0,2,3.0,-1.0,-1,1,188.0,-1.0,0,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,3.0,5.0,1.0,-1.0,apartment,2100,deurne,Apartment,2150.0,1.0,0,False
179000.0,2.0,89.0,2,2.0,0,1,0,-1,-1,1967.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,178.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,894.0,apartment,2170,merksem,Apartment,2011.2359550561798,1.0,0,False
239000.0,2.0,82.0,2,2.0,0,1,0,-1,-1,1962.0,-1,1,-1.0,1.0,2,-1.0,-1.0,-1,1,187.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,1.0,2.0,1.0,743.0,apartment,2050,antwerp,Apartment,2914.6341463414633,1.0,0,False
335000.0,2.0,100.0,-1,2.0,-1,1,0,-1,-1,-1.0,-1,-1,12.0,1.0,-1,11.0,-1.0,-1,1,166.0,-1.0,-1,-1,0,0,-1.0,-1.0,1,1.0,1.0,-1,7.0,10.0,-1.0,-1.0,apartment,2018,antwerp,Apartment,3350.0,1.0,0,False
480000.0,3.0,126.0,2,2.0,-1,1,0,-1,2,2006.0,-1,1,-1.0,2.0,3,6.0,-1.0,1,1,95.0,1616.0,1,1,1,-1,-1.0,-1.0,1,1.0,1.0,-1,2.0,5.0,2.0,1666.0,apartment,2600,berchem,Apartment,3809.5238095238096,1.0,0,False
389500.0,2.0,95.0,3,-1.0,-1,1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,20.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,1.0,23.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,4100.0,1.0,0,False
1950000.0,3.0,185.0,3,-1.0,-1,1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,75.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,23.0,23.0,-1.0,-1.0,penthouse,2000,antwerp,Apartment,10540.54054054054,0.0,1,True
239000.0,2.0,90.0,3,-1.0,0,1,0,-1,-1,1968.0,-1,1,-1.0,1.0,3,4.0,-1.0,-1,1,230.0,-1.0,0,0,-1,0,25.0,-1.0,-1,1.0,-1.0,-1,4.0,4.0,1.0,934.0,apartment,2100,deurne,Apartment,2655.5555555555557,1.0,0,False
249000.0,1.0,62.0,4,2.0,0,1,0,0,3,2025.0,-1,-1,-1.0,1.0,-1,8.0,-1.0,1,1,-1.0,-1.0,1,0,1,0,27.0,-1.0,1,0.0,-1.0,0,1.0,2.0,1.0,-1.0,apartment,2610,wilrijk,Apartment,4016.1290322580644,1.0,0,False
229900.0,2.0,73.0,2,-1.0,0,1,0,-1,-1,1958.0,-1,1,-1.0,1.0,3,4.0,-1.0,-1,-1,286.0,-1.0,1,-1,0,0,35.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,622.0,apartment,2170,merksem,Apartment,3149.3150684931506,1.0,0,False
315000.0,2.0,91.0,-1,-1.0,-1,1,0,-1,-1,1958.0,-1,-1,-1.0,1.0,-1,40.0,-1.0,-1,-1,-1.0,-1.0,-1,0,1,0,-1.0,-1.0,1,1.0,-1.0,0,0.0,5.0,1.0,-1.0,apartment,2020,antwerp,Apartment,3461.5384615384614,1.0,0,False
