Postal Code;Special code;Submunicipality code;R?gion code;Province code;Arrondissement code;Municipality code;ISO 3166-3 Area code;Official language or language combination;Sub-municipality name (French);Sub-municipality name (Dutch);Sub-municipality name (German);R?gion name (German);R?gion name (Dutch);R?gion name (French);Province name (German);Province name (Dutch);Province name (French);Arrondissement name (German);Arrondissement name (Dutch);Arrondissement name (French);Municipality name (German);Municipality name (Dutch);Municipality name (French);sub_municipaliti_name_maj
1044;1;21015A;1000;;21000;21015;BEL;NL-FR;Schaerbeek;Schaarbeek;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Schaarbeek;Schaerbeek;SCHAERBEEK
1046;0;21006A;1000;;21000;21006;BEL;NL-FR;Evere;Evere;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Evere;Evere;EVERE
1047;1;21009A;1000;;21000;21009;BEL;NL-FR;Ixelles;Elsene;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Elsene;Ixelles;IXELLES
1048;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
1049;0;21006A;1000;;21000;21006;BEL;NL-FR;Evere;Evere;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Evere;Evere;EVERE
1050;0;21013A;1000;;21000;21013;BEL;NL-FR;Saint-Gilles;Sint-Gillis;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Gillis;Saint-Gilles;SAINT-GILLES
1050;0;21009A;1000;;21000;21009;BEL;NL-FR;Ixelles;Elsene;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Elsene;Ixelles;IXELLES
1060;0;21013A;1000;;21000;21013;BEL;NL-FR;Saint-Gilles;Sint-Gillis;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Gillis;Saint-Gilles;SAINT-GILLES
1070;0;21001-Z;1000;;21000;21001;BEL;NL-FR;Anderlecht;Anderlecht;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Anderlecht;Anderlecht;ANDERLECHT
1080;0;21012A;1000;;21000;21012;BEL;NL-FR;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;MOLENBEEK-SAINT-JEAN
1081;0;21011A;1000;;21000;21011;BEL;NL-FR;Koekelberg;Koekelberg;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Koekelberg;Koekelberg;KOEKELBERG
1082;0;21003A;1000;;21000;21003;BEL;NL-FR;Berchem-Sainte-Agathe;Sint-Agatha-Berchem;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Sint-Agatha-Berchem;Berchem-Sainte-Agathe;BERCHEM-SAINTE-AGATHE
1083;0;21008A;1000;;21000;21008;BEL;NL-FR;Ganshoren;Ganshoren;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Ganshoren;Ganshoren;GANSHOREN
1090;0;21010A;1000;;21000;21010;BEL;NL-FR;Jette;Jette;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Jette;Jette;JETTE
1099;1;21004-Z;1000;;21000;21004;BEL;NL-FR;Bruxelles;Brussel;;;Brussels Hoofdstedelijk Gewest;R?gion de Bruxelles-Capitale;;;;;Brussel-Hoofdstad;Bruxelles-Capitale;;Brussel;Bruxelles;BRUXELLES
