postal_code;count;median_total_price;mean_total_price;median_price_per_m2;mean_price_per_m2;percent_luxurious;mun_name;province_num;province_name;region_num;region_name
9810;5;352776;356057;2087;2423;0;Nazareth-De Pinte;9;East Flanders;3;Flanders
9820;1;895000;895000;2814;2814;100;Merelbeke-Melle;9;East Flanders;3;Flanders
9840;1;399000;399000;4113;4113;0;Nazareth-De Pinte;9;East Flanders;3;Flanders
9850;12;447000;620850;3680;3361;33;Deinze;9;East Flanders;3;Flanders
9860;2;747000;747000;2587;2587;50;Oosterzele;9;East Flanders;3;Flanders
9880;1;395000;395000;3464;3464;0;Aalter;9;East Flanders;3;Flanders
9890;1;203500;203500;1800;1800;0;Gavere;9;East Flanders;3;Flanders
9900;4;314000;309500;1960;1947;0;Eeklo;9;East Flanders;3;Flanders
9920;1;299000;299000;2820;2820;0;Lievegem;9;East Flanders;3;Flanders
9940;77;375000;390240;2881;2863;2;Evergem;9;East Flanders;3;Flanders
9950;4;437908;403649;2677;2848;0;Lievegem;9;East Flanders;3;Flanders
9961;1;2498000;2498000;1470;1470;100;Assenede;9;East Flanders;3;Flanders
9968;1;398000;398000;2653;2653;0;Assenede;9;East Flanders;3;Flanders
9970;1;327000;327000;3633;3633;0;Kaprijke;9;East Flanders;3;Flanders
9990;3;595000;539666;1817;2405;66;Maldegem;9;East Flanders;3;Flanders
