postal_code;count;median_total_price;mean_total_price;median_price_per_m2;mean_price_per_m2;percent_luxurious;mun_name;province_num;province_name;region_num;region_name
5024;2;162500;162500;1440;1440;0;Namen;5;Namur;2;Wallonia
5060;1;90000;90000;638;638;0;Sambreville;5;Namur;2;Wallonia
5070;1;279000;279000;1823;1823;0;Fosses-la-Ville;5;Namur;2;Wallonia
5100;88;317500;377582;2815;2828;6;Namen;5;Namur;2;Wallonia
5101;4;357500;505000;3648;3478;25;Namen;5;Namur;2;Wallonia
5140;1;240000;240000;3200;3200;0;Sombreffe;5;Namur;2;Wallonia
5150;2;172500;172500;2787;2787;0;Floreffe;5;Namur;2;Wallonia
5170;2;387000;387000;2580;2580;0;Profondeville;5;Namur;2;Wallonia
5190;1;195000;195000;1363;1363;0;Jemeppe-sur-Sambre;5;Namur;2;Wallonia
5300;6;297250;273916;1693;1902;0;Andenne;5;Namur;2;Wallonia
5350;1;415000;415000;2964;2964;0;Ohey;5;Namur;2;Wallonia
5377;2;229500;229500;1439;1439;0;Somme-Leuze;5;Namur;2;Wallonia
5380;3;595000;555000;2333;2274;66;Fernelmont;5;Namur;2;Wallonia
5500;5;260000;283600;1941;1857;20;Dinant;5;Namur;2;Wallonia
5530;2;337000;337000;1837;1837;0;Yvoir;5;Namur;2;Wallonia
5544;1;189000;189000;2333;2333;0;Hastiere;5;Namur;2;Wallonia
5550;2;139000;139000;418;418;0;Vresse-sur-Semois;5;Namur;2;Wallonia
5555;1;99000;99000;660;660;0;Bievre;5;Namur;2;Wallonia
5570;1;250000;250000;899;899;0;Beauraing;5;Namur;2;Wallonia
5580;5;185000;170600;1697;1915;0;Rochefort;5;Namur;2;Wallonia
5590;9;249000;318178;2465;2398;11;Ciney;5;Namur;2;Wallonia
5621;2;244500;244500;1866;1866;0;Florennes;5;Namur;2;Wallonia
5630;1;315000;315000;2266;2266;0;Cerfontaine;5;Namur;2;Wallonia
5651;1;269900;269900;1329;1329;0;Walcourt;5;Namur;2;Wallonia
5660;7;315000;361928;1164;1470;14;Couvin;5;Namur;2;Wallonia
5670;2;200000;200000;904;904;0;Viroinval;5;Namur;2;Wallonia
5680;1;215000;215000;1194;1194;0;Doische;5;Namur;2;Wallonia
6000;98;149499;202830;1350;1438;9;Charleroi;7;Hainaut;2;Wallonia
6001;65;197000;205852;1381;1484;4;Charleroi;7;Hainaut;2;Wallonia
6010;26;198000;550496;1366;1350;11;Charleroi;7;Hainaut;2;Wallonia
6020;16;143000;166237;1234;1230;0;Charleroi;7;Hainaut;2;Wallonia
6030;59;165000;176161;1111;1127;5;Charleroi;7;Hainaut;2;Wallonia
6031;34;199499;213286;1151;1275;2;Charleroi;7;Hainaut;2;Wallonia
6032;39;219000;238993;1646;1733;5;Charleroi;7;Hainaut;2;Wallonia
6040;66;172499;196472;1242;1248;6;Charleroi;7;Hainaut;2;Wallonia
6041;24;185000;198479;1162;1453;4;Charleroi;7;Hainaut;2;Wallonia
6042;26;162000;180615;1305;1310;0;Charleroi;7;Hainaut;2;Wallonia
6043;20;249000;252530;1675;1600;0;Charleroi;7;Hainaut;2;Wallonia
6044;19;195000;207578;1054;1411;5;Charleroi;7;Hainaut;2;Wallonia
6060;57;169900;295281;1276;1406;10;Charleroi;7;Hainaut;2;Wallonia
6061;48;169000;171777;1287;1422;2;Charleroi;7;Hainaut;2;Wallonia
6110;1;229000;229000;2290;2290;0;Montigny-le-Tilleul;7;Hainaut;2;Wallonia
6120;2;550000;550000;1833;1833;100;Ham-sur-Heure-Nalinnes;7;Hainaut;2;Wallonia
6140;1;185000;185000;1528;1528;0;Fontaine-lEveque;7;Hainaut;2;Wallonia
6150;1;199999;199999;1562;1562;0;Anderlues;7;Hainaut;2;Wallonia
6180;2;232000;232000;1625;1625;0;Courcelles;7;Hainaut;2;Wallonia
6181;1;165000;165000;2323;2323;0;Courcelles;7;Hainaut;2;Wallonia
6200;8;209500;240500;1529;1674;0;Chatelet;7;Hainaut;2;Wallonia
6220;1;179000;179000;994;994;0;Fleurus;7;Hainaut;2;Wallonia
6223;1;315000;315000;1981;1981;0;Fleurus;7;Hainaut;2;Wallonia
6230;1;160000;160000;1600;1600;0;Pont-a-Celles;7;Hainaut;2;Wallonia
6240;2;149000;149000;1701;1701;0;Farciennes;7;Hainaut;2;Wallonia
