municipality_upper,median_income,,coord,municipality
"LIEDEKERKE","28.297","","50.8667 4.0932","Liedekerke"
"LONDERZEEL","30.550","","51.0107 4.2765","Londerzeel"
"MACHELEN","26.468","","50.9027 4.444","Machelen"
"MEISE","31.023","","50.961 4.3158","Meise"
"MERCHTEM","30.125","","50.9514 4.2471","Merchtem"
"OPWIJK","30.573","","50.9605 4.1715","Opwijk"
"OVERIJSE","33.706","","50.7713 4.5328","Overijse"
"PEPINGEN","31.777","","50.7442 4.1477","Pepingen"
"SINT-PIETERS-LEEUW","27.265","","50.7885 4.2435","Sint-Pieters-Leeuw"
"STEENOKKERZEEL","31.058","","50.9209 4.4992","Steenokkerzeel"
"TERNAT","30.318","","50.8655 4.1795","Ternat"
"VILVORDE","26.685","","50.9302 4.4337","Vilvoorde"
"ZAVENTEM","29.890","","50.8711 4.4866","Zaventem"
"ZEMST","32.363","","50.978 4.449","Zemst"
"ROOSDAAL","31.008","","50.835 4.096","Roosdaal"
"DROGENBOS","26.079","","50.7934 4.309","Drogenbos"
"KRAAINEM","36.531","","50.8456 4.4714","Kraainem"
"LINKEBEEK","30.802","","50.7679 4.3454","Linkebeek"
"RHODE-SAINT-GENESE","32.120","","50.7443 4.3734","Sint-Genesius-Rode"
"WEMMEL","28.219","","50.909 4.3085","Wemmel"
"WEZEMBEEK-OPPEM","34.702","","50.844 4.4935","Wezembeek-Oppem"
"LENNIK","31.203","","50.8133 4.1636","Lennik"
"AFFLIGEM","30.506","","50.9042 4.1159","Affligem"
"AARSCHOT","29.467","","50.989 4.8646","Aarschot"
"BEGIJNENDIJK","30.459","","51.007 4.7846","Begijnendijk"
"BEKKEVOORT","30.341","","50.9345 4.9779","Bekkevoort"
"BERTEM","32.016","","50.8539 4.6097","Bertem"
"BIERBEEK","32.786","","50.83 4.7673","Bierbeek"
"BOORTMEERBEEK","32.156","","50.9805 4.5625","Boortmeerbeek"
"BOUTERSEM","32.777","","50.831 4.837","Boutersem"
"DIEST","28.903","","50.9965 5.0485","Diest"
"GEETBETS","28.808","","50.8915 5.1312","Geetbets"
"HAACHT","31.201","","50.964 4.6414","Haacht"
"HERENT","32.389","","50.9125 4.6325","Herent"
"HOEGAARDEN","31.278","","50.7791 4.8766","Hoegaarden"
"HOLSBEEK","32.608","","50.93 4.815","Holsbeek"
"HULDENBERG","31.861","","50.7897 4.6119","Huldenberg"
"KEERBERGEN","32.664","","51.0052 4.6543","Keerbergen"
"KORTENAKEN","30.103","","50.8895 5.0125","Kortenaken"
"KORTENBERG","31.882","","50.89 4.5689","Kortenberg"
"LANDEN","29.064","","50.7547 5.0617","Landen"
"LOUVAIN","29.834","","50.8821 4.7058","Leuven"
"LUBBEEK","32.118","","50.882 4.8287","Lubbeek"
"OUD-HEVERLEE","33.267","","50.8215 4.7235","Oud-Heverlee"
"ROTSELAAR","32.124","","50.957 4.757","Rotselaar"
"TERVUREN","34.814","","50.831 4.558","Tervuren(3)"
"TIRLEMONT","27.675","","50.808 4.936","Tienen"
"TREMELO","30.560","","50.9992 4.7267","Tremelo"
"LEAU","28.950","","50.8351 5.1011","Zoutleeuw"
"LINTER","30.091","","50.822 5.043","Linter"
"MONTAIGU-ZICHEM","28.946","","50.9995 4.962","Scherpenheuvel-Zichem"
"TIELT-WINGE","30.163","","50.9215 4.8845","Tielt-Winge"
"GLABBEEK","31.461","","50.867 4.9495","Glabbeek"
"BEAUVECHAIN","30.721","","50.7761 4.7646","Bevekom"
"BRAINE-L'ALLEUD","30.067","","50.6733 4.3547","Eigenbrakel"
"BRAINE-LE-CHATEAU","30.368","","50.6795 4.2575","Kasteelbrakel"
"CHAUMONT-GISTOUX","32.179","","50.6875 4.6975","Chaumont-Gistoux"
"COURT-SAINT-ETIENNE","29.601","","50.6265 4.5626","Court-Saint-Etienne"
"GENAPPE","29.451","","50.6101 4.4563","Genepiën"
"GREZ-DOICEAU","30.147","","50.7483 4.688","Graven"
"INCOURT","29.935","","50.6991 4.7814","Incourt"
"ITTRE","29.678","","50.6426 4.2578","Itter"
"JODOIGNE","28.353","","50.7283 4.8604","Geldenaken"
"LA HULPE","31.116","","50.7363 4.4646","Terhulpen"
"MONT-SAINT-GUIBERT","30.585","","50.635 4.617","Mont-Saint-Guibert"
"NIVELLES","28.374","","50.5969 4.3323","Nijvel"
"PERWEZ","29.618","","50.6345 4.7795","Perwijs"
"RIXENSART","31.531","","50.722 4.504","Rixensart"
"TUBIZE","26.724","","50.6902 4.1905","Tubeke"
"VILLERS-LA-VILLE","30.264","","50.5623 4.5266","Villers-la-Ville"
"WATERLOO","31.704","","50.7095 4.4037","Waterloo"
"WAVRE","28.318","","50.7158 4.5932","Waver"
"CHASTRE","31.039","","50.5894 4.6231","Chastre"
"HELECINE","28.833","","50.7465 4.9965","Hélécine"
"LASNE","32.466","","50.6823 4.4615","Lasne"
"ORP-JAUCHE","29.289","","50.6898 4.9632","Orp-Jauche"
"OTTIGNIES-LOUVAIN-LA-NEUVE","28.110","","50.6725 4.5625","Ottignies-Louvain-la-Neuve"
"RAMILLIES","29.845","","50.6595 4.886","Ramillies"
"REBECQ","27.888","","50.6714 4.1304","Rebecq"
"WALHAIN","31.165","","50.6313 4.6973","Walhain"
