municipality_upper,median_income,,coord,municipality
"PLOMBIERES","27.156","","50.7256 5.9491","Plombières"
"THIMISTER-CLERMONT","29.954","","50.6629 5.8697","Thimister-Clermont"
"BERLOZ","29.834","","50.7038 5.2031","Berloz"
"BRAIVES","29.754","","50.6154 5.1494","Braives"
"CRISNEE","29.091","","50.7107 5.3969","Crisnée"
"DONCEEL","30.893","","50.6493 5.3261","Donceel"
"FEXHE-LE-HAUT-CLOCHER","29.459","","50.6636 5.4021","Fexhe-le-Haut-Clocher"
"GEER","30.968","","50.6705 5.1835","Geer"
"HANNUT","29.004","","50.666 5.0731","Hannuit"
"LINCENT","28.654","","50.7214 5.0276","Lijsem"
"OREYE","29.365","","50.7235 5.349","Oerle"
"REMICOURT","29.877","","50.6856 5.3412","Remicourt"
"SAINT-GEORGES-SUR-MEUSE","27.473","","50.5966 5.3607","Saint-Georges-sur-Meuse"
"WAREMME","26.996","","50.692 5.2635","Borgworm"
"WASSEIGES","28.362","","50.6178 5.0244","Wasseiges"
"FAIMES","30.979","","50.647 5.2395","Faimes"
"AS","29.307","","51.007 5.559","As"
"BERINGEN","27.507","","51.0654 5.2358","Beringen"
"DIEPENBEEK","29.637","","50.9115 5.4175","Diepenbeek"
"GENK","26.282","","50.9671 5.4948","Genk"
"GINGELOM","29.420","","50.7325 5.1395","Gingelom"
"HALEN","29.302","","50.9499 5.0942","Halen"
"HASSELT","28.875","","50.9353 5.3084","Hasselt"
"HERCK-LA-VILLE","29.594","","50.9373 5.1779","Herk-de-Stad"
"BOURG-LEOPOLD","27.191","","51.1174 5.2506","Leopoldsburg"
"LUMMEN","29.862","","50.9952 5.1831","Lummen"
"NIEUWERKERKEN","28.710","","50.881 5.235","Nieuwerkerken"
"SAINT-TROND","27.603","","50.813 5.197","Sint-Truiden"
"TESSENDERLO","29.216","","51.0548 5.0692","Tessenderlo"
"ZONHOVEN","29.400","","50.9918 5.3765","Zonhoven"
"ZUTENDAAL","29.533","","50.936 5.571","Zutendaal"
"HAM","29.195","","51.1002 5.1608","Ham"
"HEUSDEN-ZOLDER","27.275","","51.0199 5.2892","Heusden-Zolder"
"BOCHOLT","28.125","","51.187 5.5637","Bocholt"
"BREE","28.102","","51.144 5.632","Bree"
"KINROOI","28.240","","51.1545 5.757","Kinrooi"
"LOMMEL","28.448","","51.2255 5.302","Lommel"
"MAASEIK","27.961","","51.0879 5.7152","Maaseik"
"PEER","28.885","","51.1284 5.4616","Peer"
"HAMONT-ACHEL","27.587","","51.26 5.5073","Hamont-Achel"
"HECHTEL-EKSEL","28.580","","51.1385 5.3463","Hechtel-Eksel"
"HOUTHALEN-HELCHTEREN","27.259","","51.0525 5.3875","Houthalen-Helchteren"
"DILSEN-STOKKEM","27.771","","51.036 5.712","Dilsen-Stokkem"
"OUDSBERGEN","29.287","","51.0749 5.5563","Oudsbergen"
"PELT","28.388","","51.22 5.4245","Pelt"
"ALKEN","29.770","","50.8784 5.2904","Alken"
"BILZEN","28.855","","50.8695 5.5325","Bilzen"
"LOOZ","28.756","","50.807 5.364","Borgloon"
"HEERS","28.749","","50.7536 5.3119","Heers"
"HOESELT","29.058","","50.8449 5.4727","Hoeselt"
"KORTESSEM","29.536","","50.8531 5.4059","Kortessem"
"LANAKEN","28.217","","50.8994 5.6443","Lanaken"
"RIEMST","29.456","","50.8054 5.5922","Riemst"
"TONGRES","27.872","","50.771 5.44","Tongeren**"
"WELLEN","29.502","","50.8428 5.3234","Wellen"
"MAASMECHELEN","26.170","","50.969 5.678","Maasmechelen"
"FOURONS","28.673","","50.7465 5.8645","Voeren"
"ARLON","34.822","","49.6745 5.8355","Aarlen"
"ATTERT","42.211","","49.747 5.7545","Attert"
"AUBANGE","30.250","","49.5755 5.7885","Aubange"
"MARTELANGE","31.868","","49.8111 5.7246","Martelange"
"MESSANCY","37.226","","49.6148 5.8114","Messancy"
"BASTOGNE","29.270","","50.0156 5.7615","Bastenaken"
"BERTOGNE","30.175","","50.0632 5.646","Bertogne"
"FAUVILLERS","32.362","","49.881 5.699","Fauvillers"
"HOUFFALIZE","28.172","","50.149 5.739","Houffalize"
"VIELSALM","26.692","","50.2835 5.9035","Vielsalm"
"VAUX-SUR-SURE","30.709","","49.9342 5.6064","Vaux-sur-Sûre"
"GOUVY","27.512","","50.19 5.911","Gouvy"
"SAINTE-ODE","27.911","","50.025 5.5279","Sainte-Ode"
"DURBUY","26.277","","50.365 5.489","Durbuy"
"EREZEE","26.801","","50.2945 5.5835","Erezée"
"HOTTON","26.198","","50.2675 5.4365","Hotton"
"LA ROCHE-EN-ARDENNE","26.190","","50.1671 5.605","La Roche-en-Ardenne"
"MARCHE-EN-FAMENNE","26.443","","50.218 5.34","Marche-en-Famenne"
"NASSOGNE","27.389","","50.1395 5.3545","Nassogne"
"RENDEUX","26.909","","50.2145 5.4925","Rendeux"
"TENNEVILLE","29.283","","50.0995 5.5445","Tenneville"
"MANHAY","28.508","","50.289 5.6627","Manhay"
"BERTRIX","26.463","","49.854 5.2462","Bertrix"
"BOUILLON","24.705","","49.806 5.0831","Bouillon"
"DAVERDISSE","25.585","","50.003 5.099","Daverdisse"
"HERBEUMONT","26.888","","49.7955 5.306","Herbeumont"
"LEGLISE","32.384","","49.8175 5.5585","Léglise"
"LIBIN","28.079","","49.9782 5.2382","Libin"
"NEUFCHATEAU","28.691","","49.851 5.4332","Neufchâteau"
"PALISEUL","26.658","","49.9078 5.137","Paliseul"
"SAINT-HUBERT","26.357","","50.038 5.3445","Saint-Hubert"
"TELLIN","26.993","","50.0755 5.2255","Tellin"
"WELLIN","26.609","","50.0601 5.0985","Wellin"
"LIBRAMONT-CHEVIGNY","28.589","","49.9462 5.4225","Libramont-Chevigny"
"CHINY","27.935","","49.721 5.3955","Chiny"
"ETALLE","34.978","","49.6639 5.6088","Etalle"
"FLORENVILLE","24.938","","49.7078 5.2755","Florenville"
"MEIX-DEVANT-VIRTON","28.696","","49.6036 5.4699","Meix-devant-Virton"
"MUSSON","31.854","","49.5694 5.6808","Musson"
"SAINT-LEGER","34.924","","49.616 5.645","Saint-Léger"
"TINTIGNY","30.960","","49.686 5.4843","Tintigny"
"VIRTON","27.464","","49.5725 5.5725","Virton"
"HABAY","34.120","","49.735 5.617","Habay"
"ROUVROY","27.517","","49.536 5.4875","Rouvroy"
"ANHEE","27.395","","50.32 4.766","Anhée"
"BEAURAING","25.451","","50.0915 4.95","Beauraing"
"BIEVRE","25.281","","49.9295 5.025","Bièvre"
"CINEY","26.943","","50.2694 5.1227","Ciney"
"DINANT","24.333","","50.2495 4.9432","Dinant"
"GEDINNE","25.248","","49.9845 4.8995","Gedinne"
"HAMOIS","29.134","","50.3375 5.1645","Hamois"
"HAVELANGE","27.860","","50.3612 5.248","Havelange"
"HOUYET","26.583","","50.1915 5.0315","Houyet"
"ONHAYE","27.881","","50.263 4.815","Onhaye"
"ROCHEFORT","26.292","","50.157 5.1692","Rochefort"
"SOMME-LEUZE","27.472","","50.2995 5.3186","Somme-Leuze"
"YVOIR","28.730","","50.3225 4.9785","Yvoir"
"HASTIERE","23.249","","50.195 4.8259","Hastière"
"VRESSE-SUR-SEMOIS","24.181","","49.8503 4.9158","Vresse-sur-Semois"
"ANDENNE","26.552","","50.4895 5.063","Andenne"
"ASSESSE","30.399","","50.376 4.9985","Assesse"
"EGHEZEE","29.670","","50.5866 4.8939","Eghezée"
"FLOREFFE","29.509","","50.4352 4.7557","Floreffe"
"FOSSES-LA-VILLE","27.590","","50.3932 4.6812","Fosses-la-Ville"
"GESVES","29.941","","50.4224 5.0534","Gesves"
"METTET","28.138","","50.3205 4.675","Mettet"
"NAMUR","26.135","","50.4605 4.8727","Namen"
"OHEY","28.869","","50.4358 5.1663","Ohey"
"PROFONDEVILLE","29.331","","50.377 4.843","Profondeville"
"SOMBREFFE","29.092","","50.5266 4.6026","Sombreffe"
"SAMBREVILLE","25.118","","50.4465 4.6215","Sambreville"
"FERNELMONT","30.118","","50.554 4.9871","Fernelmont"
"JEMEPPE-SUR-SAMBRE","27.303","","50.4675 4.677","Jemeppe-sur-Sambre"
"LA BRUYERE","31.326","","50.5297 4.8099","La Bruyère"
"GEMBLOUX","29.671","","50.5543 4.7091","Gembloux"
"CERFONTAINE","26.869","","50.1815 4.4405","Cerfontaine"
"COUVIN","23.960","","50.0379 4.4809","Couvin"
"DOISCHE","25.033","","50.151 4.759","Doische"
"FLORENNE","26.334","","50.2605 4.5675","Florennes"
"PHILIPPEVILLE","25.695","","50.161 4.546","Philippeville"
"WALCOURT","27.975","","50.2725 4.4555","Walcourt"
"VIROINVAL","23.930","","50.05 4.624","Viroinval"
