url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost
https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbd51218,vbd51218,670000,4,170.0,To be renovated,3,0,1,0,None,None,1974,None,1,None,None,None,1,None,None,Fuel oil,None,None,None,None,None,None,8.0,None,260.0,None,Yes,None,315.0,82,None,None,None,None,(information not available),(information not available),None,None,On contract,None,None,No,40.0,Yes,None,0,None,None,None,None,None,2,2,None,7 m,None,None,None,3259,: No,None
https://immovlan.be/en/detail/bungalow/for-sale/3080/tervuren/vbd51215,vbd51215,605000,4,160.0,Normal,3,0,1,1,None,Super equipped,None,Yes,1,None,24.0,None,2,None,Yes,Gas,None,None,None,None,457.0,None,27.0,None,667.0,Yes,Yes,None,229.0,None,"No, certificate does not comply",None,Yes,None,(information not available),(information not available),None,None,On contract,None,None,No,35.0,None,Double glass,0,None,None,None,None,None,None,2,None,13 m,13 m,None,None,2064,: No,None
https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbu68641,rbu68641,435000,3,177.0,Fully renovated,4,0,1,1,None,None,1959,Yes,1,None,23.0,None,1,None,None,None,None,Yes,None,None,None,None,None,None,601.0,None,None,None,184.0,None,None,None,None,None,(information not available),(information not available),None,None,None,None,None,None,52.0,Yes,Triple glass,None,None,None,None,None,None,3,2,None,None,None,A,A,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbu68637,rbu68637,369000,3,202.0,New,3,0,1,1,None,None,2023,None,None,None,None,None,1,None,None,None,None,None,None,None,100.0,None,None,None,420.0,Yes,None,None,None,None,None,None,Yes,No,(information not available),(information not available),None,None,On contract,None,None,None,None,None,Triple glass,0,None,None,None,None,None,None,None,None,13 m,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbu68634,rbu68634,279000,4,162.0,Normal,3,0,1,1,None,Super equipped,1970,None,1,None,None,None,1,None,None,None,None,None,None,None,130.0,None,None,None,369.0,Yes,None,None,453.0,None,None,None,No,No,(information not available),(information not available),None,None,On contract,None,None,None,None,None,Double glass,0,None,None,None,None,None,None,2,None,12 m,None,A,A,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/4170/comblain-au-pont/vbd51212,vbd51212,215000,3,120.0,Normal,2,0,1,1,Yes,Fully equipped,1960,Yes,None,Western kitchen,14.0,None,1,None,None,Fuel oil,None,Yes,None,None,150.0,None,31.0,None,210.0,Yes,Yes,None,383.0,12983,"No, certificate does not comply",None,None,None,no flooding area,(information not available),None,None,On contract,None,None,None,31.0,Yes,Double glass,0,None,None,No,None,None,2,1,None,5 m,5 m,None,None,446,: No,None
https://immovlan.be/en/detail/residence/for-sale/4420/saint-nicolas/vbd51208,vbd51208,189000,3,85.0,Normal,2,0,1,1,No,Fully equipped,1918,Yes,None,Western kitchen,7.0,None,1,None,None,Gas,None,None,None,None,65.0,None,15.0,None,160.0,Yes,Yes,None,322.0,59,"yes, certificate in accordance",None,None,None,no flooding area,(information not available),None,None,None,None,None,None,18.0,Yes,Double glass,0,None,None,No,None,None,2,1,None,None,None,None,None,401,: No,None
https://immovlan.be/en/detail/mixed-building/for-sale/7100/la-louviere/vbd51207,vbd51207,60000,None,85.0,To be renovated,2,0,1,1,No,None,1900,None,None,Independent,None,None,1,None,None,Gas,None,None,None,None,26.0,None,26.0,None,111.0,None,None,None,None,None,None,None,None,None,no flooding area,(information not available),None,None,On contract,None,None,None,None,None,None,0,None,None,No,None,None,2,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/6941/bomal/vbd51197,vbd51197,239000,2,112.0,Fully renovated,None,None,1,1,None,None,None,No,1,None,None,None,1,None,None,Gas,None,None,None,None,450.0,None,14.0,None,920.0,None,None,None,339.0,65,None,None,Yes,None,no flooding area,(information not available),No,None,None,None,None,None,None,No,Double glass,0,None,None,Yes,None,None,None,None,None,None,None,None,None,736,: No,None
https://immovlan.be/en/detail/residence/for-sale/7730/estaimpuis/vbd51200,vbd51200,149000,3,188.0,To be renovated,4,0,0,1,None,None,None,None,1,None,None,None,1,None,None,None,None,None,None,None,320.0,None,None,None,490.0,None,None,None,585.0,None,None,None,None,None,(information not available),(information not available),None,None,On contract,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,421,: No,None
